CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
SOUTH,2,13,11,10.92.208.106,2785,15-02-2022,95024,95024,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,13,12,10.92.208.106,2786,15-02-2022,10102249,10102249,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,14,11,10.92.208.107,2790,15-02-2022,135370,135370,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,14,12,10.92.208.107,2791,15-02-2022,1408239,1408239,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,15,11,10.92.208.108,2795,15-02-2022,6430772,6430772,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,15,12,10.92.208.108,2796,15-02-2022,8550320,8550320,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,16,11,10.92.208.109,2800,15-02-2022,5570478,5741816,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,16,12,10.92.208.109,2801,15-02-2022,9430875,9430875,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,17,11,10.92.208.110,2805,15-02-2022,4616193,4616193,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,17,12,10.92.208.110,2806,15-02-2022,9956240,9956240,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,18,11,10.92.208.113,2810,15-02-2022,19094174,19912388,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,18,12,10.92.208.113,2811,15-02-2022,6811909,7697352,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,19,11,10.92.208.114,2815,15-02-2022,23432450,23799635,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,19,12,10.92.208.114,2816,15-02-2022,3155968,3200246,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,20,11,10.92.208.115,2820,15-02-2022,24834258,25578409,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,20,12,10.92.208.115,2821,15-02-2022,23160053,23682451,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,31,11,10.92.208.127,2875,15-02-2022,1033584,1033584,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,31,12,10.92.208.127,2876,15-02-2022,2220,2220,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,32,11,10.92.208.128,2880,15-02-2022,761372,761372,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,32,12,10.92.208.128,2881,15-02-2022,2208,2208,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,33,11,10.92.208.129,2885,15-02-2022,2184579,2184579,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,33,12,10.92.208.129,2886,15-02-2022,20781820,20781820,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,34,11,10.92.208.130,2890,15-02-2022,3676570,3676570,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,34,12,10.92.208.130,2891,15-02-2022,5486382,5515007,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,35,11,10.92.208.131,2895,15-02-2022,1133796,1133796,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,35,12,10.92.208.131,2896,15-02-2022,620689,620689,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,36,11,10.92.208.132,2900,15-02-2022,6046,6046,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,36,12,10.92.208.132,2901,15-02-2022,1111084,1111084,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,11,12,10.92.208.104,2776,16-02-2022,19212464,19212464,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,12,11,10.92.208.105,2780,16-02-2022,938255,938255,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,12,12,10.92.208.105,2781,16-02-2022,236886,236886,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,13,11,10.92.208.106,2785,16-02-2022,94805,94805,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,13,12,10.92.208.106,2786,16-02-2022,9746953,9746953,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,14,11,10.92.208.107,2790,16-02-2022,120227,120227,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,14,12,10.92.208.107,2791,16-02-2022,950898,950898,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,15,11,10.92.208.108,2795,16-02-2022,4799927,4799927,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,15,12,10.92.208.108,2796,16-02-2022,6747881,6747881,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,16,11,10.92.208.109,2800,16-02-2022,1488577,1488608,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,16,12,10.92.208.109,2801,16-02-2022,7187951,7187951,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
SOUTH,2,17,11,10.92.208.110,2805,16-02-2022,4111613,4111613,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD,09-MAR-22 12.37.30.941288000 PM,SKVS_DB_PRD
