CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
NORTH,1,11,12,10.222.196.189,2776,12-Feb-22,44172,44172,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,12,11,10.222.196.190,2780,12-Feb-22,13424,13424,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,12,12,10.222.196.190,2781,12-Feb-22,2256,2256,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,13,11,10.222.196.191,2785,12-Feb-22,1128,1128,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,13,12,10.222.196.191,2786,12-Feb-22,21139,21139,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,14,11,10.222.196.192,2790,12-Feb-22,20702,20702,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,14,12,10.222.196.192,2791,12-Feb-22,17587,20249,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,15,11,10.222.197.161,2795,12-Feb-22,562828,562828,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,15,12,10.222.197.161,2796,12-Feb-22,973164,973164,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,16,11,10.222.197.162,2800,12-Feb-22,2703466,2816637,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,16,12,10.222.197.162,2801,12-Feb-22,1130062,1130062,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,17,11,10.222.197.163,2805,12-Feb-22,562333,562333,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,17,12,10.222.197.163,2806,12-Feb-22,2964540,2964540,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,18,11,10.222.197.164,2810,12-Feb-22,4381187,4452920,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,18,12,10.222.197.164,2811,12-Feb-22,433284,433284,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,19,11,10.222.197.165,2815,12-Feb-22,9378364,9406508,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,19,12,10.222.197.165,2816,12-Feb-22,992294,1089407,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,20,11,10.222.197.166,2820,12-Feb-22,1815929,2056845,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,20,12,10.222.197.166,2821,12-Feb-22,3405024,3664900,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,31,11,10.222.196.206,2875,12-Feb-22,1128,1128,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,31,12,10.222.196.206,2876,12-Feb-22,1128,1128,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
